,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
108,-0.56%,-0.34%,0.08%,0 days 00:20:00.000000000,0.08%,1.4697999999999878,215,-0.2742680306315989,-0.002661999999999831,33%,3,-0.56%,0 days 00:34:00.000000000,30,10,45
109,-0.73%,-0.73%,nan%,0 days 00:29:30.000000000,-0.57%,1.6818,215,-0.9171058518265394,-0.008589999999999876,0%,2,-0.89%,0 days 00:36:00.000000000,45,10,45
110,-0.63%,-0.63%,nan%,0 days 00:28:30.000000000,-0.52%,1.5557999999999739,215,-0.4911060587914025,-0.004870000000000041,0%,2,-0.75%,0 days 00:31:00.000000000,5,26,45
111,-0.71%,-0.71%,nan%,0 days 00:29:00.000000000,-0.52%,1.7118000000000078,215,-0.6581731507605204,-0.006450000000000289,0%,2,-0.89%,0 days 00:32:00.000000000,10,26,45
112,-0.57%,-0.57%,nan%,0 days 00:31:00.000000000,-0.46%,1.4797999999999756,215,-0.37335142515194053,-0.003549999999999609,0%,2,-0.68%,0 days 00:34:00.000000000,26,26,45
113,-0.61%,-0.61%,nan%,0 days 00:32:00.000000000,-0.54%,1.5157999999999672,215,-0.6751607107681217,-0.006330000000000058,0%,2,-0.68%,0 days 00:35:00.000000000,30,26,45
114,-0.45%,-0.45%,nan%,0 days 00:35:00.000000000,-0.27%,1.2477999999999545,215,-0.5030620227216644,-0.004749999999999255,0%,2,-0.64%,0 days 00:38:00.000000000,45,26,45
115,-0.69%,-0.69%,nan%,0 days 00:30:30.000000000,-0.46%,1.6597999999999558,215,-0.6104350309812766,-0.005909999999999194,0%,2,-0.92%,0 days 00:33:00.000000000,5,30,45
116,-0.71%,-0.71%,nan%,0 days 00:31:30.000000000,-0.47%,1.6557999999999629,215,-0.5104537769340803,-0.004909999999999304,0%,2,-0.95%,0 days 00:33:00.000000000,10,30,45
117,-0.54%,-0.54%,nan%,0 days 00:33:00.000000000,-0.42%,1.347799999999988,215,-0.5345144765212567,-0.005029999999999424,0%,2,-0.66%,0 days 00:35:00.000000000,26,30,45
118,-0.50%,-0.50%,nan%,0 days 00:33:30.000000000,-0.27%,1.2517999999999585,215,-0.4170110703395387,-0.003949999999999676,0%,2,-0.74%,0 days 00:35:00.000000000,30,30,45
119,-0.56%,-0.56%,nan%,0 days 00:36:00.000000000,-0.39%,1.2357999999999758,215,-0.7427464021626667,-0.0070699999999992436,0%,2,-0.72%,0 days 00:38:00.000000000,45,30,45
120,-0.60%,-0.60%,nan%,0 days 00:34:30.000000000,-0.46%,1.4797999999999756,215,-0.619991511665506,-0.005809999999999982,0%,2,-0.73%,0 days 00:41:00.000000000,5,45,45
121,-0.60%,-0.60%,nan%,0 days 00:35:30.000000000,-0.47%,1.3877999999999724,215,-0.6410851349334231,-0.006090000000000151,0%,2,-0.73%,0 days 00:41:00.000000000,10,45,45
122,-0.47%,-0.47%,nan%,0 days 00:37:00.000000000,-0.39%,1.2617999999999574,215,-0.8498383561740017,-0.007989999999999275,0%,2,-0.55%,0 days 00:40:00.000000000,26,45,45
123,-0.29%,-0.29%,nan%,0 days 00:37:30.000000000,-0.26%,0.8937999999999557,215,-0.4808503314507623,-0.004429999999999268,0%,2,-0.31%,0 days 00:36:00.000000000,30,45,45
124,-0.25%,-0.25%,nan%,0 days 00:39:00.000000000,-0.20%,0.8145999999999876,215,-0.44376216216219866,-0.003969999999999252,0%,2,-0.30%,0 days 00:41:00.000000000,45,45,45
