,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
47,-2.61%,1.28%,5.59%,0 days 23:28:56,57.75%,34.13657394337787,3522,1.4922609825305253,0.7918992899999995,48%,141,-11.38%,0 days 03:00:00,1.5,26
48,-2.88%,1.43%,5.88%,1 days 02:26:40,57.75%,29.342468309341374,3521,1.5403137336720532,0.7917483099999982,49%,126,-11.38%,0 days 03:00:00,1.8,26
49,-3.07%,1.78%,6.47%,1 days 05:58:25,57.75%,23.131948096026527,3521,1.4379618425946072,0.686986480000001,51%,114,-13.41%,1 days 00:00:00,2.0,26
50,-3.29%,1.54%,7.08%,1 days 08:32:37,57.75%,19.459018302423246,3522,1.5476353700855177,0.7448743799999997,47%,103,-14.94%,1 days 01:00:00,2.2,26
51,-4.68%,0.94%,8.00%,1 days 14:36:08,57.75%,29.66099061290639,3001,1.0282380153691615,0.43416237000000013,44%,88,-28.10%,1 days 12:00:00,2.5,26
52,-5.24%,1.73%,8.47%,2 days 08:19:40,57.75%,29.123811407226924,3001,1.2659638990002455,0.5682331800000002,51%,61,-15.90%,9 days 12:00:00,2.8,26
53,-6.49%,3.14%,10.18%,3 days 22:42:40,64.27%,22.364793931396402,2918,1.6307020864914372,0.6461626900000008,58%,45,-18.79%,10 days 23:00:00,3.0,26
54,-2.24%,0.77%,5.46%,0 days 20:39:46,55.93%,34.742726059672584,3545,1.2001302800767137,0.582338909999996,39%,166,-11.38%,0 days 03:00:00,1.0,30
55,-2.62%,0.83%,5.76%,0 days 23:23:50,53.64%,36.22162365628348,3543,0.9853660830681743,0.40540420999999904,41%,146,-11.38%,0 days 03:00:00,1.2,30
56,-2.49%,1.24%,5.83%,1 days 01:59:32,53.64%,34.97798794042222,3530,1.0806723936948799,0.48042375999999876,45%,127,-8.68%,0 days 06:00:00,1.5,30
57,-2.89%,1.44%,6.09%,1 days 05:30:33,53.64%,27.808608559970132,3521,1.163955250752788,0.5399198799999996,48%,110,-9.41%,0 days 16:00:00,1.8,30
58,-3.35%,1.42%,6.29%,1 days 08:02:55,53.64%,21.803894056716455,3540,1.1942453860559052,0.5697338599999995,50%,103,-13.41%,1 days 00:00:00,2.0,30
59,-3.67%,1.46%,6.47%,1 days 11:16:46,53.64%,21.84241068516737,1691,1.4454435138763722,0.689165629999998,51%,93,-13.41%,1 days 00:00:00,2.2,30
60,-4.97%,0.95%,7.19%,1 days 23:10:16,53.64%,33.382549075985665,4341,0.9780378702657491,0.4172001699999994,49%,76,-25.29%,1 days 11:00:00,2.5,30
61,-5.75%,0.70%,6.93%,2 days 19:29:28,70.53%,34.20652047956634,4562,0.6331135228283213,0.18011486000000043,51%,57,-16.59%,7 days 10:00:00,2.8,30
62,-6.20%,1.61%,9.81%,3 days 23:40:59,83.90%,28.285103494833468,4550,0.8552992454388192,0.30035375,49%,41,-17.70%,10 days 13:00:00,3.0,30
63,-2.16%,0.98%,6.43%,0 days 23:36:00,48.87%,30.261704417279038,3559,1.0925219941744861,0.5084713099999987,37%,145,-10.11%,0 days 08:00:00,1.0,35
64,-2.32%,1.09%,6.62%,1 days 01:54:30,46.68%,35.43132527156311,3545,0.9573871718525869,0.38865186000000107,38%,131,-10.11%,0 days 08:00:00,1.2,35
65,-2.57%,1.37%,6.49%,1 days 04:29:44,46.68%,33.81226725734949,3540,1.1161630744035131,0.50829648,43%,115,-10.11%,0 days 08:00:00,1.5,35
66,-3.08%,1.68%,7.29%,1 days 10:01:52,46.68%,18.66070837386335,3530,1.4735011546959478,0.7416490899999983,46%,96,-13.30%,1 days 02:00:00,1.8,35
67,-3.54%,1.51%,7.14%,1 days 11:58:41,46.68%,33.7260209454349,4356,0.9349146315079544,0.39296522999999994,47%,91,-13.30%,1 days 02:00:00,2.0,35
68,-4.30%,1.56%,7.42%,1 days 17:44:38,46.68%,43.87845347526688,2486,0.5708776693911535,0.12237615000000002,50%,82,-14.34%,1 days 08:00:00,2.2,35
69,-5.57%,1.43%,8.03%,2 days 00:52:04,46.68%,28.112228806387897,1705,0.8171148495961742,0.28843207000000026,51%,68,-30.94%,2 days 13:00:00,2.5,35
70,-5.98%,1.62%,8.63%,3 days 01:54:00,63.75%,29.749349733723413,2353,1.1004599013430187,0.42562855999999916,52%,50,-13.30%,1 days 02:00:00,2.8,35
71,-6.61%,1.86%,9.92%,4 days 00:12:18,82.25%,24.713347878555794,2655,1.1396548667344308,0.42669225999999916,51%,39,-18.20%,10 days 12:00:00,3.0,35
72,-2.66%,0.57%,7.76%,1 days 02:24:39,46.88%,38.64370201705309,2137,0.6188963973582897,0.10633511999999956,31%,129,-11.38%,0 days 03:00:00,1.0,45
