,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
20,-3.38%,0.82%,6.63%,0 days 23:29:38,30.83%,59.52796241600937,2039,2.7437342943509884,4.114798070000003,42%,81,-9.50%,1 days 01:00:00,1.5,12
97,-9.45%,10.40%,20.32%,9 days 19:20:00,50.85%,68.1059012085061,2735,2.8920926729903274,4.0949818199999966,67%,6,-15.48%,2 days 09:00:00,2.8,72
51,-6.51%,3.85%,13.17%,3 days 20:22:06,59.66%,74.88362892881322,2735,2.9071432179452885,4.084132079999997,53%,19,-14.75%,2 days 09:00:00,2.5,26
129,-19.94%,19.31%,32.39%,18 days 11:30:00,87.83%,64.37104624193336,2509,2.964248929167374,4.050958959999999,75%,4,-19.94%,5 days 17:00:00,1.8,252
32,-3.97%,1.82%,8.29%,1 days 22:48:20,34.70%,56.47376065857947,2276,2.8747412221362563,4.00446507,47%,36,-7.92%,2 days 03:00:00,2.2,14
89,-40.43%,18.13%,37.64%,27 days 09:00:00,101.01%,73.57585921619199,2509,2.886552884595831,3.9767682000000004,75%,4,-40.43%,67 days 23:00:00,3.0,60
115,-15.26%,17.72%,50.69%,12 days 22:30:00,89.94%,61.49198209231547,2509,2.935037644508092,3.9561328599999985,50%,4,-15.48%,2 days 09:00:00,2.8,96
24,-5.63%,2.85%,11.34%,3 days 17:21:00,43.53%,75.55641209508495,2276,2.6104975767114955,3.8065978000000005,50%,20,-14.75%,2 days 09:00:00,2.5,12
90,-4.83%,2.67%,16.75%,3 days 13:13:03,24.98%,67.16901007113879,2735,2.6743138339791352,3.8025491300000027,35%,23,-9.73%,0 days 09:00:00,1.0,72
44,-8.84%,10.31%,42.23%,10 days 09:52:30,92.60%,77.48440474187335,2644,2.8394044879378457,3.7351072999999984,38%,8,-25.89%,7 days 01:00:00,3.0,20
134,nan%,20.80%,20.80%,19 days 09:00:00,38.21%,70.43835189666183,2509,2.6712413433251343,3.6863955499999994,100%,2,3.40%,13 days 03:00:00,3.0,252
39,-3.82%,1.60%,8.11%,1 days 15:28:38,41.88%,73.76645444409404,2276,2.700773595608731,3.614249900000006,45%,44,-13.33%,0 days 04:00:00,1.8,20
113,-13.63%,9.43%,27.88%,8 days 06:53:20,101.97%,73.49762545133824,2509,2.8772645891319777,3.5642360800000032,56%,9,-18.99%,2 days 10:00:00,2.2,96
53,-9.15%,8.25%,38.69%,7 days 13:38:11,94.17%,81.16280483247155,2735,2.7411449259060863,3.506101990000002,36%,11,-23.21%,0 days 21:00:00,3.0,26
63,-4.42%,1.48%,8.85%,1 days 19:10:40,28.34%,68.1415076610847,2509,2.6648119218501267,3.456510460000003,44%,45,-13.33%,0 days 04:00:00,1.0,35
30,-4.06%,1.10%,6.25%,1 days 08:42:51,24.01%,64.28200975501986,2509,2.5248847550496403,3.4209781200000036,50%,56,-9.50%,1 days 01:00:00,1.8,14
31,-3.77%,1.25%,6.50%,1 days 12:13:20,24.01%,59.78987329711146,2276,2.5419071079891356,3.3405262300000063,49%,45,-7.41%,0 days 12:00:00,2.0,14
75,-6.26%,2.55%,15.27%,3 days 21:49:05,34.70%,61.567243220401394,2735,2.63203688621563,3.2813405199999988,41%,22,-10.25%,0 days 15:00:00,1.8,45
88,-6.91%,7.98%,19.14%,11 days 00:00:00,51.57%,77.4587576594015,2735,2.6285820468733454,3.2802955700000034,57%,7,-19.04%,10 days 10:00:00,2.8,60
65,-5.01%,1.99%,10.39%,2 days 10:23:38,34.70%,67.82345891599788,2509,2.604269859658896,3.193951719999996,45%,33,-16.97%,0 days 15:00:00,1.5,35
