,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
29,-0.27%,-0.08%,0.28%,0 days 00:12:30,0.59%,0.9903524980102857,101,-0.04078180143788388,-0.0005259999999984721,33%,12,-0.84%,0 days 00:16:00,1.5,14
30,-0.38%,-0.11%,0.32%,0 days 00:16:15,0.59%,1.1257132941474775,219,-0.10099491941037829,-0.0010519999999996088,38%,8,-0.84%,0 days 00:16:00,1.8,14
31,-0.40%,-0.09%,0.32%,0 days 00:17:17.142857,0.59%,1.3270211882175476,219,-0.2194530597997152,-0.0020399999999981544,43%,7,-0.84%,0 days 00:16:00,2.0,14
32,-0.38%,-0.16%,0.40%,0 days 00:18:34.285714,0.59%,1.257659140188726,219,-0.1924642396570312,-0.0017279999999987306,29%,7,-0.84%,0 days 00:16:00,2.2,14
33,-0.84%,-0.32%,0.20%,0 days 00:19:30,0.20%,1.1072090818571192,219,-0.7664344757774917,-0.004827999999999499,50%,2,-0.84%,0 days 00:16:00,2.5,14
34,-0.84%,-0.32%,0.20%,0 days 00:19:30,0.20%,0.8788509351951407,219,-0.3619158950712834,-0.0021359999999995827,50%,2,-0.84%,0 days 00:16:00,2.8,14
35,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,3.0,14
36,-0.20%,-0.01%,0.32%,0 days 00:12:16.363636,0.65%,1.0532101633007382,117,0.3553840454916746,0.004490000000000327,36%,11,-0.38%,0 days 00:03:00,1.0,20
37,-0.23%,-0.03%,0.28%,0 days 00:13:36,0.65%,1.0598465553998437,101,0.12704235689956453,0.0014940000000005504,40%,10,-0.53%,0 days 00:05:00,1.2,20
38,-0.32%,-0.09%,0.26%,0 days 00:14:48,0.65%,1.2062850667146903,219,-0.3698728231701064,-0.004433999999998606,40%,10,-0.83%,0 days 00:15:00,1.5,20
39,-0.40%,-0.10%,0.29%,0 days 00:17:08.571428,0.65%,1.1118686110784899,219,0.17103201766001475,0.0016599999999999948,43%,7,-0.83%,0 days 00:15:00,1.8,20
40,-0.40%,-0.10%,0.29%,0 days 00:17:08.571428,0.65%,1.2398888594971442,219,-0.043880202743637665,-0.00047999999999903675,43%,7,-0.83%,0 days 00:15:00,2.0,20
41,-0.31%,-0.08%,0.37%,0 days 00:23:00,0.65%,1.3482152283777917,219,-0.4893004837515434,-0.004387999999999059,33%,6,-0.37%,0 days 00:43:00,2.2,20
42,-0.44%,-0.19%,0.53%,0 days 00:41:15,0.53%,0.8253067542643029,117,0.269553582831707,0.002060000000000617,25%,4,-0.54%,0 days 00:19:00,2.5,20
43,N/A,N/A,N/A,0,N/A,0.4715878322346104,219,-1.1465523051581084,-0.0037719999999996645,N/A,0,N/A,0,2.8,20
44,N/A,N/A,N/A,0,N/A,0.4715878322346104,219,-1.1465523051581084,-0.0037719999999996645,N/A,0,N/A,0,3.0,20
45,-0.16%,0.05%,0.26%,0 days 00:15:00,0.59%,0.9214977483453951,81,0.6382657689503054,0.008098000000000605,50%,8,-0.19%,0 days 00:06:00,1.0,26
46,-0.19%,0.02%,0.22%,0 days 00:15:00,0.59%,0.9228473620699106,81,0.5346816692097569,0.006610000000000893,50%,8,-0.22%,0 days 00:04:00,1.2,26
47,-0.20%,0.03%,0.20%,0 days 00:17:34.285714,0.59%,0.8084071173080583,162,0.4558491679337224,0.005368000000000928,57%,7,-0.22%,0 days 00:04:00,1.5,26
48,-0.24%,0.03%,0.22%,0 days 00:19:12,0.59%,0.9279388203621668,165,0.4761771397925054,0.0050040000000000084,60%,5,-0.27%,0 days 00:19:00,1.8,26
49,-0.27%,0.08%,0.19%,0 days 00:24:30,0.52%,0.9279388203621668,163,0.6185742304568721,0.006476000000000148,75%,4,-0.27%,0 days 00:19:00,2.0,26
50,-0.27%,0.08%,0.19%,0 days 00:24:30,0.52%,1.0549993349175502,165,0.5018961067978932,0.005196000000001311,75%,4,-0.27%,0 days 00:19:00,2.2,26
51,-0.47%,-0.10%,0.28%,0 days 00:25:00,0.52%,1.0522198861616596,199,0.15449391072261556,0.001428000000000651,50%,4,-0.57%,0 days 00:32:00,2.5,26
52,nan%,0.36%,0.36%,0 days 00:46:00,0.52%,0.8647042540182618,199,-0.4628454360511398,-0.0035479999999992184,100%,2,0.20%,0 days 00:54:00,2.8,26
