,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
321,-5.04%,1.28%,6.68%,1 days 04:01:54.000000000,34.80%,78.59352198166056,2509,2.876484893584243,4.750573190000002,54%,63,-19.56%,1 days 05:00:00.000000000,12,5,96
30,-4.02%,1.55%,6.86%,1 days 18:18:08.000000000,23.63%,48.15805201108344,2276,3.1152379789835596,4.730872469999992,51%,43,-14.18%,2 days 01:00:00.000000000,120,45,5
106,-4.24%,1.48%,7.72%,1 days 13:52:10.000000000,23.61%,60.70399659361549,2509,2.892386207708497,4.723638329999999,48%,46,-13.17%,0 days 04:00:00.000000000,26,96,12
56,-2.92%,0.44%,3.84%,0 days 10:20:39.000000000,18.29%,59.583805602132365,2017,2.484386137297966,4.720603409999998,50%,183,-14.53%,0 days 07:00:00.000000000,5,252,5
82,-4.56%,1.55%,7.87%,1 days 09:42:06.000000000,27.27%,65.83342452039665,2509,2.920798579682001,4.684019570000015,49%,57,-11.91%,1 days 13:00:00.000000000,26,26,12
143,-5.85%,2.24%,8.98%,2 days 05:32:44.000000000,27.68%,69.49485615826245,2276,3.223634305616277,4.66159018000001,55%,33,-17.55%,1 days 15:00:00.000000000,252,12,26
62,-4.25%,2.06%,10.64%,2 days 05:34:33.000000000,41.09%,60.829472686647314,2039,2.7882657148001138,4.628369339999999,42%,33,-12.52%,1 days 06:00:00.000000000,120,252,5
13,-3.90%,0.78%,5.65%,0 days 19:30:38.000000000,21.79%,76.74785762628247,2039,2.6467946319035343,4.627493980000005,49%,96,-12.22%,0 days 09:00:00.000000000,96,12,5
376,-13.34%,3.36%,10.04%,5 days 03:04:17.000000000,28.13%,51.808737141141826,1009,3.027820773155486,4.624773919999999,71%,14,-26.26%,5 days 14:00:00.000000000,5,252,96
129,-3.44%,0.83%,5.49%,0 days 20:05:06.000000000,19.39%,71.34754615996222,2522,2.727526203708052,4.6096727400000095,48%,94,-10.96%,0 days 11:00:00.000000000,12,5,26
267,-6.65%,2.95%,12.55%,3 days 05:47:30.000000000,23.89%,80.99710359073022,2276,2.90415090011718,4.5622063400000075,50%,24,-25.96%,3 days 08:00:00.000000000,45,12,60
150,-5.43%,1.99%,9.41%,2 days 10:46:00.000000000,22.27%,51.500351607463834,2276,2.888043469290429,4.465218639999996,50%,30,-21.23%,2 days 15:00:00.000000000,120,26,26
282,-6.45%,2.60%,8.63%,3 days 01:26:24.000000000,25.55%,91.84308795258718,2039,2.772197862031668,4.417842350000008,60%,25,-19.12%,4 days 00:00:00.000000000,26,45,60
