ADX_BOLLStrategy_26_72_0.85684,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-07 23:00:00,BTCUSDT,LONG,0.0001226764327657667,Binance,6756.98,0.0008297519546242543
2018-07-09 01:00:00,BTCUSDT,SHORT,0.0001226764327657667,Binance,6699.01,0.0008218106498621987
2018-07-09 07:00:00,BTCUSDT,LONG,0.00012195804466514859,Binance,6725.0,0.0008209888392123366
2018-07-09 09:00:00,BTCUSDT,SHORT,0.00012195804466514859,Binance,6689.97,0.0008158956600685042
2018-07-09 13:00:00,BTCUSDT,LONG,0.00012100108251018327,Binance,6729.4,0.0008150797644084357
2018-07-09 16:00:00,BTCUSDT,SHORT,0.00012100108251018327,Binance,6706.95,0.0008115482103416737
2018-07-15 03:00:00,BTCUSDT,LONG,0.00012942269410293092,Binance,6257.99,0.000810736662131332
2018-07-19 04:00:00,BTCUSDT,SHORT,0.00012942269410293092,Binance,7315.02,0.0009467295958168219
2018-07-19 11:00:00,BTCUSDT,LONG,0.0001274311629464446,Binance,7414.49,0.0009457828662210049
2018-07-19 16:00:00,BTCUSDT,SHORT,0.0001274311629464446,Binance,7370.0,0.0009391676709152966
2018-07-19 22:00:00,BTCUSDT,LONG,0.00012520659031133483,Binance,7485.95,0.0009382285032443813
2018-07-20 17:00:00,BTCUSDT,SHORT,0.00012520659031133483,Binance,7328.66,0.0009175965301510672
2018-07-22 00:00:00,BTCUSDT,LONG,0.00012302034993159517,Binance,7443.99,0.000916678933620916
2018-07-22 21:00:00,BTCUSDT,SHORT,0.00012302034993159517,Binance,7371.01,0.0009067842295492875
2018-07-23 02:00:00,BTCUSDT,LONG,0.00011837399612746838,Binance,7645.02,0.0009058774453197381
2018-07-25 19:00:00,BTCUSDT,SHORT,0.00011837399612746838,Binance,8242.69,0.0009757201541399224
2018-07-29 01:00:00,BTCUSDT,LONG,0.0001178012280781394,Binance,8266.21,0.0009747444339857825
2018-07-29 04:00:00,BTCUSDT,SHORT,0.0001178012280781394,Binance,8200.0,0.0009659700702407431
2018-08-07 11:00:00,BTCUSDT,LONG,0.00013601022237197453,Binance,7087.99,0.0009650041001705023
2018-08-07 20:00:00,BTCUSDT,SHORT,0.00013601022237197453,Binance,6875.01,0.0009350716389095487
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
-0.18139125453086524,-0.3156943158603718,28.26895526433378,2517,-0.0658634327293609,-0.1864179873050732,-0.17538665028363976
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
51,0.23529411764705882,0.001336732474485506,0.04405989384974354,-0.011808855640978506,0.16890886690454934,-0.04258725584373999,0 days 11:00:00,0 days 19:41:11
