BOLL_RSIStrategy_30_0.1_7_76_45,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-06-19 21:00:00,BTCUSDT,LONG,0.00013196219348134063,Binance,6717.98,0.0008874067833471238
2018-06-20 00:00:00,BTCUSDT,CLOSE,0.00013196219348134063,Binance,6670.0,0.000880187830520542
2018-06-20 21:00:00,BTCUSDT,LONG,0.00013082635611014608,Binance,6714.46,0.0008793076426900215
2018-06-21 12:00:00,BTCUSDT,CLOSE,0.00013082635611014608,Binance,6714.68,0.0008784571168456757
2018-06-24 23:00:00,BTCUSDT,LONG,0.00014285568954534587,Binance,6136.97,0.0008775786597288301
2018-06-25 09:00:00,BTCUSDT,CLOSE,0.00014285568954534587,Binance,6162.99,0.0008804181861110712
2018-06-25 12:00:00,BTCUSDT,LONG,0.0001438065843137537,Binance,6110.0,0.0008795377679249601
2018-06-25 19:00:00,BTCUSDT,CLOSE,0.0001438065843137537,Binance,6255.7,0.0008996108494915491
2018-06-25 21:00:00,BTCUSDT,LONG,0.00014330172387484107,Binance,6265.19,0.0008987112386420575
2018-06-26 09:00:00,BTCUSDT,CLOSE,0.00014330172387484107,Binance,6209.99,0.0008899022722455242
2018-06-28 02:00:00,BTCUSDT,LONG,0.00014530814096912718,Binance,6112.0,0.0008890123699732787
2018-06-28 03:00:00,BTCUSDT,CLOSE,0.00014530814096912718,Binance,6094.85,0.000885631322985685
2018-06-28 04:00:00,BTCUSDT,LONG,0.00014480004881562062,Binance,6104.01,0.0008847456916626993
2018-06-28 10:00:00,BTCUSDT,CLOSE,0.00014480004881562062,Binance,6090.01,0.0008818337452876178
2018-06-30 08:00:00,BTCUSDT,LONG,0.0001377262847622516,Binance,6390.0,0.0008809519115423302
2018-07-01 03:00:00,BTCUSDT,CLOSE,0.0001377262847622516,Binance,6344.57,0.0008738140545140387
2018-07-03 01:00:00,BTCUSDT,LONG,0.0001317535160847849,Binance,6618.93,0.0008729402404595249
2018-07-03 16:00:00,BTCUSDT,CLOSE,0.0001317535160847849,Binance,6586.97,0.0008678564578449957
2018-07-04 20:00:00,BTCUSDT,LONG,0.00012944595833886517,Binance,6690.99,0.0008669886013871505
2018-07-05 00:00:00,BTCUSDT,CLOSE,0.00012944595833886517,Binance,6560.14,0.000849183609137123
2018-07-05 01:00:00,BTCUSDT,LONG,0.00012771095877504838,Binance,6635.97,0.0008483344255279857
2018-07-05 13:00:00,BTCUSDT,CLOSE,0.00012771095877504838,Binance,6605.99,0.0008436573165583819
2018-07-06 19:00:00,BTCUSDT,LONG,0.00012815366271627925,Binance,6570.01,0.0008428136592418237
2018-07-07 12:00:00,BTCUSDT,CLOSE,0.00012815366271627925,Binance,6557.12,0.000840318944870169
2018-07-08 06:00:00,BTCUSDT,LONG,0.00012459706146799175,Binance,6730.81,0.0008394786259252988
2018-07-08 17:00:00,BTCUSDT,CLOSE,0.00012459706146799175,Binance,6758.18,0.0008420493688717526
2018-07-13 09:00:00,BTCUSDT,LONG,0.0001347723279287586,Binance,6235.45,0.0008412073195028806
2018-07-13 19:00:00,BTCUSDT,CLOSE,0.0001347723279287586,Binance,6178.0,0.0008326234419438706
2018-07-14 00:00:00,BTCUSDT,LONG,0.00013318785505424344,Binance,6239.0,0.0008317908185019268
2018-07-14 02:00:00,BTCUSDT,CLOSE,0.00013318785505424344,Binance,6228.0,0.0008294939612778282
2018-07-14 23:00:00,BTCUSDT,LONG,0.0001324115686124312,Binance,6251.99,0.0008286644673165504
2018-07-15 05:00:00,BTCUSDT,CLOSE,0.0001324115686124312,Binance,6287.82,0.0008325801093526172
2018-07-15 22:00:00,BTCUSDT,LONG,0.00013054553165602577,Binance,6364.95,0.0008317475292432644
2018-07-16 08:00:00,BTCUSDT,CLOSE,0.00013054553165602577,Binance,6381.0,0.0008330110374971004
2018-07-17 06:00:00,BTCUSDT,LONG,0.00012465824687856407,Binance,6669.0,0.0008321780264596034
