MACD_RSIStrategy_41_113_2_74_36,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-12-19 08:00:00,BTCUSDT,SHORT,9.471462091844241e-05,Binance,18620.01,0.0017635871886476067
2017-12-19 09:00:00,BTCUSDT,LONG,9.65216558946887e-05,Binance,18234.89,0.001761823601458959
2017-12-19 12:00:00,BTCUSDT,SHORT,9.65216558946887e-05,Binance,17550.5,0.001694003321779734
2017-12-19 14:00:00,BTCUSDT,LONG,0.00010199788652680336,Binance,16575.02,0.0016923093184579544
2017-12-19 16:00:00,BTCUSDT,SHORT,0.00010199788652680336,Binance,17772.61,0.0018127686580651308
2017-12-19 19:00:00,BTCUSDT,LONG,0.00010266248106188756,Binance,17622.26,0.0018109558894070657
2017-12-19 20:00:00,BTCUSDT,SHORT,0.00010266248106188756,Binance,17327.56,0.0017788903003487207
2017-12-26 11:00:00,BTCUSDT,LONG,0.00011955129223327733,Binance,14849.98,0.001777111410048372
2017-12-26 13:00:00,BTCUSDT,SHORT,0.00011955129223327733,Binance,15109.92,0.0018064104615414418
2017-12-26 18:00:00,BTCUSDT,LONG,0.00011585370137065873,Binance,15561.0,0.0018046040510799005
2017-12-27 00:00:00,BTCUSDT,SHORT,0.00011585370137065873,Binance,15734.0,0.0018228421373659444
2017-12-27 06:00:00,BTCUSDT,LONG,0.00011113001074730298,Binance,16370.0,0.0018210192952285785
2017-12-27 12:00:00,BTCUSDT,SHORT,0.00011113001074730298,Binance,15894.83,0.001766392628726554
2017-12-27 14:00:00,BTCUSDT,LONG,0.00011555118636806693,Binance,15256.11,0.0017646262360978273
2017-12-27 18:00:00,BTCUSDT,SHORT,0.00011555118636806693,Binance,15049.07,0.001738937892236085
2017-12-27 20:00:00,BTCUSDT,LONG,0.00011748383117357155,Binance,14771.92,0.0017371989543438489
2017-12-27 21:00:00,BTCUSDT,SHORT,0.00011748383117357155,Binance,15184.1,0.001783886240922628
2017-12-28 00:00:00,BTCUSDT,LONG,0.00011728806646052868,Binance,15179.04,0.0017821023546817053
2017-12-28 04:00:00,BTCUSDT,SHORT,0.00011728806646052868,Binance,14274.58,0.0016742378877361336
2017-12-28 05:00:00,BTCUSDT,LONG,0.00012304058072154262,Binance,13580.0,0.001672563649848397
2017-12-28 07:00:00,BTCUSDT,SHORT,0.00012304058072154262,Binance,13984.39,0.0017206474666365333
2017-12-28 10:00:00,BTCUSDT,LONG,0.00012969848129537213,Binance,13240.0,0.001718926819169897
2017-12-28 12:00:00,BTCUSDT,SHORT,0.00012969848129537213,Binance,13800.57,0.0017899129700104737
2017-12-28 16:00:00,BTCUSDT,LONG,0.00012944484183541143,Binance,13799.97,0.001788123057040463
2017-12-28 20:00:00,BTCUSDT,SHORT,0.00012944484183541143,Binance,13742.94,0.0017789526946535492
2017-12-29 04:00:00,BTCUSDT,LONG,0.00012118888534658334,Binance,14649.83,0.001777173741958896
2017-12-29 05:00:00,BTCUSDT,SHORT,0.00012118888534658334,Binance,14824.0,0.0017965040363777515
2018-01-02 21:00:00,BTCUSDT,LONG,0.00012202994914438977,Binance,14692.4,0.0017947075323413737
2018-01-03 01:00:00,BTCUSDT,SHORT,0.00012202994914438977,Binance,14820.02,0.0018084862869188394
2018-01-03 08:00:00,BTCUSDT,LONG,0.00012030396903676557,Binance,15002.59,0.0018066778006319206
2018-01-03 11:00:00,BTCUSDT,SHORT,0.00012030396903676557,Binance,14730.05,0.0017720834791100086
2018-01-03 17:00:00,BTCUSDT,LONG,0.00011949601920508566,Binance,14800.0,0.0017703113956308988
2018-01-03 20:00:00,BTCUSDT,SHORT,0.00011949601920508566,Binance,14926.01,0.0017835987776153007
