RSIStrategy_5_70_30,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-12-20 10:00:00,BTCUSDT,SHORT,100,Binance,17241.62,1724.162
2017-12-20 16:00:00,BTCUSDT,LONG,100,Binance,16200.02,1620.0020000000002
2017-12-21 03:00:00,BTCUSDT,SHORT,100,Binance,16901.03,1690.103
2017-12-21 11:00:00,BTCUSDT,LONG,100,Binance,16490.99,1649.0990000000002
2017-12-21 22:00:00,BTCUSDT,SHORT,100,Binance,15344.8,1534.48
2017-12-22 02:00:00,BTCUSDT,LONG,100,Binance,14098.98,1409.8980000000001
2017-12-22 12:00:00,BTCUSDT,SHORT,100,Binance,13389.0,1338.9
2017-12-22 13:00:00,BTCUSDT,LONG,100,Binance,12020.04,1202.0040000000001
2017-12-22 18:00:00,BTCUSDT,SHORT,100,Binance,13383.0,1338.3000000000002
2017-12-23 08:00:00,BTCUSDT,LONG,100,Binance,13729.0,1372.9
2017-12-23 10:00:00,BTCUSDT,SHORT,100,Binance,14155.01,1415.5010000000002
2017-12-23 23:00:00,BTCUSDT,LONG,100,Binance,13300.0,1330.0
2017-12-24 07:00:00,BTCUSDT,SHORT,100,Binance,13252.12,1325.2120000000002
2017-12-24 11:00:00,BTCUSDT,LONG,100,Binance,12345.89,1234.589
2017-12-24 23:00:00,BTCUSDT,SHORT,100,Binance,13500.0,1350.0
2017-12-27 09:00:00,BTCUSDT,LONG,100,Binance,15764.02,1576.402
2017-12-27 21:00:00,BTCUSDT,SHORT,100,Binance,15184.1,1518.41
2017-12-28 02:00:00,BTCUSDT,LONG,100,Binance,13850.04,1385.0040000000001
2017-12-28 15:00:00,BTCUSDT,SHORT,100,Binance,14040.0,1404.0
2017-12-28 18:00:00,BTCUSDT,LONG,100,Binance,13299.94,1329.9940000000001
2017-12-28 23:00:00,BTCUSDT,SHORT,100,Binance,14182.11,1418.2110000000002
2017-12-29 07:00:00,BTCUSDT,LONG,100,Binance,14450.0,1445.0
2017-12-29 15:00:00,BTCUSDT,SHORT,100,Binance,14557.49,1455.749
2017-12-29 21:00:00,BTCUSDT,LONG,100,Binance,14235.0,1423.5
2017-12-30 19:00:00,BTCUSDT,SHORT,100,Binance,13040.0,1304.0
2017-12-31 07:00:00,BTCUSDT,LONG,100,Binance,12797.46,1279.746
2017-12-31 11:00:00,BTCUSDT,SHORT,100,Binance,12989.94,1298.9940000000001
2018-01-01 01:00:00,BTCUSDT,LONG,100,Binance,13203.06,1320.306
2018-01-01 06:00:00,BTCUSDT,SHORT,100,Binance,13780.41,1378.0410000000002
2018-01-01 11:00:00,BTCUSDT,LONG,100,Binance,13220.56,1322.056
2018-01-01 21:00:00,BTCUSDT,SHORT,100,Binance,13494.98,1349.498
2018-01-02 05:00:00,BTCUSDT,LONG,100,Binance,13166.95,1316.6950000000002
2018-01-02 09:00:00,BTCUSDT,SHORT,100,Binance,13452.0,1345.2
2018-01-03 09:00:00,BTCUSDT,LONG,100,Binance,14519.99,1451.999
2018-01-03 15:00:00,BTCUSDT,SHORT,100,Binance,15033.77,1503.3770000000002
2018-01-04 06:00:00,BTCUSDT,LONG,100,Binance,14899.01,1489.901
2018-01-04 13:00:00,BTCUSDT,SHORT,100,Binance,14518.95,1451.8950000000002
2018-01-06 03:00:00,BTCUSDT,LONG,100,Binance,16521.59,1652.159
2018-01-06 17:00:00,BTCUSDT,SHORT,100,Binance,16889.93,1688.9930000000002
2018-01-06 21:00:00,BTCUSDT,LONG,100,Binance,16790.99,1679.0990000000002
2018-01-06 23:00:00,BTCUSDT,SHORT,100,Binance,17069.79,1706.9790000000003
2018-01-07 03:00:00,BTCUSDT,LONG,100,Binance,16740.68,1674.0680000000002
2018-01-07 22:00:00,BTCUSDT,SHORT,100,Binance,16446.0,1644.6000000000001
2018-01-08 03:00:00,BTCUSDT,LONG,100,Binance,15670.37,1567.0370000000003
2018-01-08 19:00:00,BTCUSDT,SHORT,100,Binance,15196.55,1519.655
2018-01-09 05:00:00,BTCUSDT,LONG,100,Binance,14880.0,1488.0
2018-01-09 18:00:00,BTCUSDT,SHORT,100,Binance,14803.44,1480.344
2018-01-09 21:00:00,BTCUSDT,LONG,100,Binance,14462.81,1446.281
2018-01-10 13:00:00,BTCUSDT,SHORT,100,Binance,13861.94,1386.1940000000002
2018-01-11 03:00:00,BTCUSDT,LONG,100,Binance,12920.0,1292.0
2018-01-11 08:00:00,BTCUSDT,SHORT,100,Binance,13656.49,1365.6490000000001
2018-01-11 19:00:00,BTCUSDT,LONG,100,Binance,13430.16,1343.016
2018-01-12 03:00:00,BTCUSDT,SHORT,100,Binance,13850.0,1385.0
2018-01-12 15:00:00,BTCUSDT,LONG,100,Binance,13411.79,1341.179
2018-01-12 20:00:00,BTCUSDT,SHORT,100,Binance,13899.98,1389.998
2018-01-13 18:00:00,BTCUSDT,LONG,100,Binance,14259.37,1425.9370000000001
2018-01-14 20:00:00,BTCUSDT,SHORT,100,Binance,13357.98,1335.798
2018-01-15 17:00:00,BTCUSDT,LONG,100,Binance,13825.05,1382.505
2018-01-17 07:00:00,BTCUSDT,SHORT,100,Binance,10765.01,1076.501
2018-01-17 09:00:00,BTCUSDT,LONG,100,Binance,10250.0,1025.0
2018-01-17 19:00:00,BTCUSDT,SHORT,100,Binance,10390.0,1039.0
2018-01-18 07:00:00,BTCUSDT,LONG,100,Binance,10472.97,1047.297
2018-01-18 12:00:00,BTCUSDT,SHORT,100,Binance,11414.99,1141.499
2018-01-18 17:00:00,BTCUSDT,LONG,100,Binance,10910.33,1091.0330000000001
2018-01-19 07:00:00,BTCUSDT,SHORT,100,Binance,11069.72,1106.972
2018-01-19 17:00:00,BTCUSDT,LONG,100,Binance,11235.93,1123.593
2018-01-19 23:00:00,BTCUSDT,SHORT,100,Binance,11474.98,1147.498
2018-01-20 13:00:00,BTCUSDT,LONG,100,Binance,12451.06,1245.106
2018-01-20 16:00:00,BTCUSDT,SHORT,100,Binance,12889.0,1288.9
2018-01-20 23:00:00,BTCUSDT,LONG,100,Binance,12799.94,1279.9940000000001
2018-01-21 11:00:00,BTCUSDT,SHORT,100,Binance,12194.18,1219.4180000000001
2018-01-21 16:00:00,BTCUSDT,LONG,100,Binance,11180.0,1118.0
2018-01-22 06:00:00,BTCUSDT,SHORT,100,Binance,11633.4,1163.34
2018-01-22 11:00:00,BTCUSDT,LONG,100,Binance,11240.0,1124.0
2018-01-22 23:00:00,BTCUSDT,SHORT,100,Binance,10760.05,1076.0049999999999
2018-01-23 05:00:00,BTCUSDT,LONG,100,Binance,10363.27,1036.327
2018-01-23 15:00:00,BTCUSDT,SHORT,100,Binance,10750.0,1075.0
2018-01-23 21:00:00,BTCUSDT,LONG,100,Binance,10980.35,1098.035
2018-01-24 06:00:00,BTCUSDT,SHORT,100,Binance,10923.99,1092.3990000000001
2018-01-24 17:00:00,BTCUSDT,LONG,100,Binance,11124.97,1112.497
2018-01-24 21:00:00,BTCUSDT,SHORT,100,Binance,11241.11,1124.111
2018-01-25 08:00:00,BTCUSDT,LONG,100,Binance,11275.0,1127.5
2018-01-25 20:00:00,BTCUSDT,SHORT,100,Binance,11251.0,1125.1000000000001
2018-01-25 23:00:00,BTCUSDT,LONG,100,Binance,11175.27,1117.527
2018-01-26 00:00:00,BTCUSDT,SHORT,100,Binance,11370.94,1137.094
2018-01-26 07:00:00,BTCUSDT,LONG,100,Binance,11010.0,1101.0
