,open,close,high,low,volume
2017-09-06 23:00:00,335.99,337.33,337.54,334.85,2962.4760082700004
2017-09-07 00:00:00,337.08,331.28,337.7,330.41,7734.765104709995
2017-09-07 01:00:00,330.65,323.52,332.48,321.1,22945.553529249974
2017-09-07 02:00:00,323.33,326.14,327.43,323.22,7334.09861814001
2017-09-07 03:00:00,326.14,326.69,330.0,325.2,7724.838441679997
2017-09-07 04:00:00,326.72,327.51,327.9,324.99,2510.7146738600004
2017-09-07 05:00:00,327.84,328.53,329.83,327.68,2928.7138518399984
2017-09-07 06:00:00,328.2,325.25,328.21,324.71,3857.360169639998
2017-09-07 07:00:00,325.25,323.45,325.25,322.68,4613.147942859996
2017-09-07 08:00:00,323.45,325.59,326.19,321.6,6067.407973540015
2017-09-07 09:00:00,325.59,330.53,330.64,324.39,9397.284025769999
2017-09-07 10:00:00,330.54,327.98,330.54,326.4,5830.514817830018
2017-09-07 11:00:00,328.05,330.24,331.69,327.33,5890.252737439999
2017-09-07 12:00:00,330.48,335.0,335.58,328.33,15169.624882220003
2017-09-07 13:00:00,335.01,336.09,336.69,333.5,7043.788577100004
2017-09-07 14:00:00,336.42,334.9,336.6,333.96,5356.688026320002
2017-09-07 15:00:00,334.89,336.71,337.72,334.07,7222.751405730016
2017-09-07 16:00:00,336.62,333.14,337.92,332.89,7489.490836220004
2017-09-07 17:00:00,333.14,332.15,334.64,331.1,5856.5535357000135
2017-09-07 18:00:00,331.99,332.77,333.0,329.77,5742.669816170009
2017-09-07 19:00:00,332.81,333.17,334.12,332.39,2827.326014640001
2017-09-07 20:00:00,333.19,330.95,333.95,329.64,5092.3213529099985
2017-09-07 21:00:00,330.91,334.0,334.71,329.66,5302.32794108
2017-09-07 22:00:00,334.27,335.15,338.66,334.24,8796.802239490024
2017-09-07 23:00:00,335.25,334.1,336.0,333.6,4198.272691020001
2017-09-08 00:00:00,334.45,331.76,334.45,330.92,3454.789095829999
2017-09-08 01:00:00,331.65,330.34,332.22,327.85,8304.376550280014
2017-09-08 02:00:00,329.83,331.12,332.29,329.83,2508.1294289999973
2017-09-08 03:00:00,331.05,330.11,331.81,328.87,2152.391182330003
2017-09-08 04:00:00,330.16,329.62,330.98,329.03,2231.0331957999983
2017-09-08 05:00:00,329.77,330.9,331.0,328.0,2907.7142289600047
2017-09-08 06:00:00,330.85,332.53,333.04,329.56,3050.8947371400013
2017-09-08 07:00:00,332.43,331.93,332.66,331.52,2278.8109754800007
2017-09-08 08:00:00,331.81,333.79,334.58,331.1,6650.146650100003
2017-09-08 09:00:00,333.76,331.39,333.76,330.55,3379.0724690099987
2017-09-08 10:00:00,331.39,331.77,332.78,331.0,3124.019058150001
2017-09-08 11:00:00,331.77,330.32,332.25,328.05,4798.451703210002
2017-09-08 12:00:00,330.51,330.11,331.4,330.1,2389.2016650699975
2017-09-08 13:00:00,330.11,310.98,330.6,306.21,41038.80375652002
2017-09-08 14:00:00,310.74,304.11,311.0,293.99,58097.25285367985
2017-09-08 15:00:00,304.14,308.0,311.84,295.55,40282.50133293008
2017-09-08 16:00:00,308.0,305.19,315.0,305.19,23685.011954260044
2017-09-08 17:00:00,305.89,303.57,311.4,300.69,14826.670663140052
2017-09-08 18:00:00,303.58,303.47,309.02,302.0,12499.886502010024
2017-09-08 19:00:00,303.47,294.08,303.89,294.08,23194.391518860033
2017-09-08 20:00:00,294.2,298.5,299.41,292.1,18740.29110039997
2017-09-08 21:00:00,298.41,295.63,299.0,291.0,13113.026826900017
2017-09-08 22:00:00,295.97,306.3,306.3,295.66,11163.540616789995
2017-09-08 23:00:00,305.86,304.0,309.47,303.55,6455.970701000009
2017-09-09 00:00:00,303.99,302.0,305.4,298.65,9893.22845258002
2017-09-09 01:00:00,302.0,297.0,302.36,296.3,6669.5608265800065
2017-09-09 02:00:00,297.0,299.03,300.01,293.43,6843.85014081
2017-09-09 03:00:00,299.3,297.37,301.48,296.67,5222.41020131999
2017-09-09 04:00:00,297.34,297.0,300.0,294.3,4976.233068090003
2017-09-09 05:00:00,297.32,307.0,307.07,297.32,11877.591357140034
2017-09-09 06:00:00,306.9,302.74,306.99,302.25,4907.103430320013
2017-09-09 07:00:00,302.73,303.56,305.5,300.98,4933.37550974
2017-09-09 08:00:00,303.56,299.75,304.29,299.74,5689.578112850014
2017-09-09 09:00:00,299.66,303.63,304.51,296.89,13040.043597749998
2017-09-09 10:00:00,303.64,302.11,305.0,301.88,6422.098397170013
2017-09-09 11:00:00,302.1,304.79,306.46,302.06,4173.687352179999
2017-09-09 12:00:00,304.94,306.1,307.08,304.62,5963.790998769989
2017-09-09 13:00:00,306.11,301.25,306.7,300.51,11401.305488140055
2017-09-09 14:00:00,301.25,299.72,302.2,295.5,11310.41092576003
2017-09-09 15:00:00,299.98,301.3,302.24,299.5,2811.488295429998
2017-09-09 16:00:00,301.3,301.33,302.77,300.77,2434.9933049800015
2017-09-09 17:00:00,301.44,297.51,301.45,296.41,7196.5963408400185
2017-09-09 18:00:00,297.44,293.33,297.98,291.46,14652.146076330051
2017-09-09 19:00:00,293.33,299.57,301.99,292.0,11158.733551110028
2017-09-09 20:00:00,299.5,299.11,301.25,298.59,3295.1093809400004
2017-09-09 21:00:00,299.13,299.4,301.01,298.68,1658.6617471399989
2017-09-09 22:00:00,299.4,304.53,304.99,299.31,8143.976627349986
2017-09-09 23:00:00,304.54,303.08,306.0,302.79,5372.581074719995
2017-09-10 00:00:00,303.2,301.27,303.79,300.75,3580.494924849999
2017-09-10 01:00:00,301.18,300.56,301.75,300.31,1651.9738027699973
2017-09-10 02:00:00,300.4,294.52,300.73,292.2,13992.538826210042
2017-09-10 03:00:00,294.47,293.01,300.0,292.05,12434.169423330048
