RSIStrategy_2_77_34,tickers,['BTCUSDT'],initial equity,1,frequency,60 min,,
,,,,,,,,
Start date,2018/4/1 0:00,End date,2018/9/1 0:00,,,,,
,,,,,,,,
timestamp,ticker,action,quantity,exchange,price,commission,,
,,,,,,,,
2018/5/16 10:00,BTCUSDT,SHORT,0.000115399,Binance,8350.26,0.000963608,,
,,,,,,,,
2018/5/16 12:00,BTCUSDT,LONG,0.00011531,Binance,8339.99,0.000962644,,
,,,,,,,,
2018/5/16 15:00,BTCUSDT,SHORT,0.00011531,Binance,8265,0.000953034,,
,,,,,,,,
2018/5/16 19:00,BTCUSDT,LONG,0.000115734,Binance,8218.22,0.000952081,,
,,,,,,,,
2018/5/16 21:00,BTCUSDT,SHORT,0.000115734,Binance,8268.91,0.000956996,,
,,,,,,,,
2018/5/17 3:00,BTCUSDT,LONG,0.000114354,Binance,8352,0.000956039,,
,,,,,,,,
2018/5/17 9:00,BTCUSDT,SHORT,0.000114354,Binance,8280,0.000946849,,
,,,,,,,,
2018/5/17 12:00,BTCUSDT,LONG,0.000114332,Binance,8265.04,0.000945903,,
,,,,,,,,
2018/5/17 14:00,BTCUSDT,SHORT,0.000114332,Binance,8317.99,0.000951011,,
,,,,,,,,
2018/5/17 16:00,BTCUSDT,LONG,0.000114851,Binance,8263.83,0.00095006,,
,,,,,,,,
2018/5/17 20:00,BTCUSDT,SHORT,0.000114851,Binance,8208,0.000942697,,
,,,,,,,,
2018/5/17 22:00,BTCUSDT,LONG,0.000116514,Binance,8074.66,0.000941755,,
,,,,,,,,
2018/5/18 2:00,BTCUSDT,SHORT,0.000116514,Binance,7986.94,0.000930592,,
,,,,,,,,
2018/5/18 6:00,BTCUSDT,LONG,0.000116742,Binance,7955.39,0.000929662,,
,,,,,,,,
2018/5/18 8:00,BTCUSDT,SHORT,0.000116742,Binance,8127.07,0.000948774,,
,,,,,,,,
2018/5/18 12:00,BTCUSDT,LONG,0.000116769,Binance,8108.99,0.000947826,,
,,,,,,,,
2018/5/18 16:00,BTCUSDT,SHORT,0.000116769,Binance,8116.99,0.000947812,,
,,,,,,,,
